BName,Material,Name,Sch,Angle,Type,Pattern,Odia,Orad,Idia,Irad,Length,R
SUS_90A_SGP_45EL_LONG,SUS,90A,SGP,45,LONG,1,101.6,50.8,93.2,46.6,55.3,55.3
SUS_100A_SGP_45EL_LONG,SUS,100A,SGP,45,LONG,1,114.3,57.15,105.3,52.65,63.1,63.1
SUS_125A_SGP_45EL_LONG,SUS,125A,SGP,45,LONG,1,139.8,69.9,130.8,65.4,78.9,78.9
SUS_150A_SGP_45EL_LONG,SUS,150A,SGP,45,LONG,1,165.2,82.6,155.2,77.6,94.7,94.7
SUS_200A_SGP_45EL_LONG,SUS,200A,SGP,45,LONG,1,216.3,108.15,204.7,102.35,126.3,126.3
SUS_250A_SGP_45EL_LONG,SUS,250A,SGP,45,LONG,1,267.4,133.7,254.2,127.1,157.8,157.8
SUS_300A_SGP_45EL_LONG,SUS,300A,SGP,45,LONG,1,318.5,159.25,304.7,152.35,189.4,189.4
SUS_350A_SGP_45EL_LONG,SUS,350A,SGP,45,LONG,1,355.6,177.8,339.8,169.9,220.9,220.9
SUS_400A_SGP_45EL_LONG,SUS,400A,SGP,45,LONG,1,406.4,203.2,390.6,195.3,252.5,252.5
SUS_450A_SGP_45EL_LONG,SUS,450A,SGP,45,LONG,1,457.2,228.6,441.4,220.7,284.1,284.1
SUS_500A_SGP_45EL_LONG,SUS,500A,SGP,45,LONG,1,508,254,492.2,246.1,315.6,315.6
SUS_40A_SGP_45EL_SHORT,SUS,40A,SGP,45,SHORT,1,48.6,24.3,41.6,20.8,15.8,15.8
SUS_50A_SGP_45EL_SHORT,SUS,50A,SGP,45,SHORT,1,60.5,30.25,52.9,26.45,21,21
SUS_65A_SGP_45EL_SHORT,SUS,65A,SGP,45,SHORT,1,76.3,38.15,67.9,33.95,26.3,26.3
SUS_80A_SGP_45EL_SHORT,SUS,80A,SGP,45,SHORT,1,89.1,44.55,80.7,40.35,31.6,31.6
SUS_90A_SGP_45EL_SHORT,SUS,90A,SGP,45,SHORT,1,101.6,50.8,93.2,46.6,36.8,36.8
SUS_100A_SGP_45EL_SHORT,SUS,100A,SGP,45,SHORT,1,114.3,57.15,105.3,52.65,42.1,42.1
SUS_125A_SGP_45EL_SHORT,SUS,125A,SGP,45,SHORT,1,139.8,69.9,130.8,65.4,52.6,52.6
SUS_150A_SGP_45EL_SHORT,SUS,150A,SGP,45,SHORT,1,165.2,82.6,155.2,77.6,63.1,63.1
SUS_200A_SGP_45EL_SHORT,SUS,200A,SGP,45,SHORT,1,216.3,108.15,204.7,102.35,84.2,84.2
SUS_250A_SGP_45EL_SHORT,SUS,250A,SGP,45,SHORT,1,267.4,133.7,254.2,127.1,105.2,105.2
SUS_300A_SGP_45EL_SHORT,SUS,300A,SGP,45,SHORT,1,318.5,159.25,304.7,152.35,126.2,126.2
SUS_350A_SGP_45EL_SHORT,SUS,350A,SGP,45,SHORT,1,355.6,177.8,339.8,169.9,147.3,147.3
SUS_400A_SGP_45EL_SHORT,SUS,400A,SGP,45,SHORT,1,406.4,203.2,390.6,195.3,168.3,168.3
SUS_450A_SGP_45EL_SHORT,SUS,450A,SGP,45,SHORT,1,457.2,228.6,441.4,220.7,189.4,189.4
SUS_500A_SGP_45EL_SHORT,SUS,500A,SGP,45,SHORT,1,508,254,492.2,246.1,210.4,210.4
